target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2
action_history,27,transfer,0.30100354427554465,0.6037224759649147,1.2144286755483829,1.0,0.3010035442755446
action_history,28,validation,0.33490938929350766,0.5821205928421195,0.6469513543090845,1.0,0.29207064195947363
action_history,28,test,0.36159672639675644,0.6214873269849293,0.7466682575071047,1.0,0.36820272320569436
action_history,28,transfer,0.2966853855397291,0.5977804732944585,1.2219309965564473,1.0,0.2966853855397293
action_history,29,validation,0.34984250760775204,0.5948062202434103,0.6324255123231395,1.0,0.3054545459583634
action_history,29,test,0.37651889243127845,0.6323294667730536,0.7292154840456817,1.0,0.38365674242594516
action_history,29,transfer,0.31237623633202916,0.6131543022315016,1.1946698867326917,1.0,0.3123762363320292
action_history,30,validation,0.4018667698294939,0.6368945887150753,0.5818201265915104,1.0,0.3540895810636678
action_history,30,test,0.42708396431416684,0.6703796485259632,0.6700752263517933,1.0,0.4352636688129171
action_history,30,transfer,0.37438578050637694,0.6765911153676015,1.086935193679115,1.0,0.374385780506377
action_history,31,validation,0.26302475044370266,0.520240635650071,0.7168754574451969,1.0,0.2187345400024919
action_history,31,test,0.2729207010092255,0.5458009296895973,0.8503825962276057,1.0,0.2806526251920334
action_history,31,transfer,0.20398845217497275,0.5703278816881587,1.3829816186184487,1.0,0.20398845217497283
contextual_outcome_history,0,validation,0.07064155791346682,0.26585546025524265,2.3769165348510914,1.0,-0.005540464156311153
contextual_outcome_history,0,test,0.0028670824718387555,0.1645292760836976,2.5828625162812124,1.0,-0.03099039591530181
contextual_outcome_history,0,transfer,-0.3971220747835562,-0.0628750964496888,2.427344369150341,,-0.39712207478355616
contextual_outcome_history,1,validation,0.0015954219546403525,0.0680842929970832,2.55350814342318,1.0,-0.09992304419657574
contextual_outcome_history,1,test,-0.016493874985616497,0.057421929306099656,2.6330129931305177,1.0,-0.05333610617878215
contextual_outcome_history,1,transfer,-0.2655124870628409,-0.07696276850166733,2.198687333773123,,-0.2655124870628404
contextual_outcome_history,2,validation,0.009543795569410762,0.11337349009221512,2.5331794738651725,1.0,-0.12395705605386234
contextual_outcome_history,2,test,-0.013939203827593838,0.10034022735328244,2.626395656304612,1.0,-0.06140816887504641
